LSE/BZM,"BELLZONE share price (BZM), Currency GBX"
LSE/BLV,"BELVOIR share price (BLV), Currency GBX"
LSE/BMK,"BENCHMARK HLDS share price (BMK), Currency GBX"
LSE/BEM,"BEOWULF share price (BEM), Currency GBX"
LSE/BRSN,"BERENDSEN share price (BRSN), Currency GBX"
LSE/BKG,"BERKELEY GP.HLD share price (BKG), Currency GBX"
LSE/BMR,"BMR GROUP share price (BMR), Currency GBX"
LSE/BKY,"BERKELEY ENG share price (BKY), Currency GBX"
LSE/BEST,BEST share price (BOTB) (BEST)
LSE/BET,BETFAIR GRP share price (BET) (BET)
LSE/BZT,"BEZANT RES share price (BZT), Currency GBX"
LSE/BGBL,Bglobal Plc (BGBL)
LSE/BLT,"BHP BILLITON share price (BLT), Currency GBX"
LSE/BILL,"BILLING SERVICE share price (BILL), Currency GBX"
LSE/BILN,"BILLINGTON share price (BILN), Currency GBX"
LSE/BIOM,"BIOME TECH share price (BIOM), Currency GBX"
LSE/BQE,"BIOQUELL share price (BQE), Currency GBX"
LSE/BISI,"BISICHI MINING share price (BISI), Currency GBX"
LSE/BMZ,Black Mountain Resources Limited (BMZ)
LSE/BES,DISTIL share price (DIS) (BES)
LSE/BLNX,"BLINKX share price (BLNX), Currency GBX"
LSE/BMY,"BLOOMSBURY PUB. share price (BMY), Currency GBX"
LSE/BLU,"BLUE STAR share price (BLU), Currency GBX"
LSE/BRD,"BLUEROCK share price (BRD), Currency GBX"
LSE/BLUR,"BLUR GROUP share price (BLUR), Currency GBX"
LSE/BODI,"Bodisen Biotech, Inc. Com Stk Usd0.0001 (BODI)"
LSE/BOY,"BODYCOTE share price (BOY), Currency GBX"
LSE/BDI,"BOND INTL.SOFT. share price (BDI), Currency GBX"
LSE/BON,"BONMARCHE share price (BON), Currency GBX"
LSE/BOK,"BOOKER share price (BOK), Currency GBX"
LSE/BHY,"BOOT(H) share price (BOOT), Currency GBX"
LSE/BOR,"BORDERS & STH. share price (BOR), Currency GBX"
LSE/BVS,"BOVIS HOMES share price (BVS), Currency GBX"
LSE/BLVN,"BOWLEVEN share price (BLVN), Currency GBX"
LSE/BOX,"BOXHILL TECH share price (BOX), Currency GBX"
LSE/BATS,"BR.AMER.TOB. share price (BATS), Currency GBX"
LSE/BPI,"BR.POLYTHENE share price (BPI), Currency GBX"
LSE/BRY,"BRADY share price (BRY), Currency GBX"
LSE/BRDY,METAL TIGER share price (MTR) (BRDY)
LSE/BMS,"BRAEMAR SHIP share price (BMS), Currency GBX"
LSE/BMTO,"BRAIME ORD share price (BMTO), Currency GBX"
LSE/BMT,"BRAIME'A'N/V share price (BMT), Currency GBX"
LSE/BJU,"SYSTEM1 GROUP share price (SYS1), Currency GBX"
LSE/BRAM,"BRAMMER share price (BRAM), Currency GBX"
LSE/BRH,"BRAVEHEART INV share price (BRH), Currency GBX"
LSE/BRW,"BREWIN DOLPHIN share price (BRW), Currency GBX"
LSE/BRT,Brightside Group Plc (BRT)
LSE/BVIC,"BRITVIC share price (BVIC), Currency GBX"
LSE/BRK,"BROOKS share price (BRK), Currency GBX"
LSE/BWNG,"BROWN(N.) GRP. share price (BWNG), Currency GBX"
LSE/BSY,SKY PLC share price (SKY) (BSY)
LSE/BTG,"BTG share price (BTG), Currency GBX"
LSE/BGL,Bullabulling Gold Limited (BGL)
LSE/BNZL,"BUNZL share price (BNZL), Currency GBX"
LSE/BRBY,"BURBERRY GRP share price (BRBY), Currency GBX"
LSE/BYOT,"BYOTROL share price (BYOT), Currency GBX"
LSE/CCR,"C&C GRP share price (CCR), Currency EUR"
LSE/CWC,"CABLE&WIRE COM share price (CWC), Currency GBX"
LSE/CAD,"CADOGAN share price (CAD), Currency GBX"
LSE/CFYN,"CAFFYNS share price (CFYN), Currency GBX"
LSE/CNE,"CAIRN ENERGY share price (CNE), Currency GBX"
LSE/CNN,"CALEDONIAN TST. share price (CNN), Currency GBX"
LSE/CAMB,"CAMBRIA AUTO share price (CAMB), Currency GBX"
LSE/COG,"CAMBRIDGE COG share price (COG), Currency GBX"
LSE/CCE,REDT ENERGY share price (RED) (CCE)
LSE/CAM,"CAMELLIA share price (CAM), Currency GBX"
LSE/CAPC,"CAP & COUNT share price (CAPC), Currency GBX"
LSE/CPX,"CAP-XX share price (CPX), Currency GBX"
LSE/CAL,"CAP.&REG. share price (CAL), Currency GBX"
LSE/CMIP,CAP.MAN.& INV share price (CMIP) (CMIP)
LSE/CPI,"CAPITA GROUP share price (CPI), Currency GBX"
LSE/CAPD,"CAPITAL DRILL share price (CAPD), Currency GBX"
LSE/CLA,CAPITAL LEASE AVIATION PLC (CLA)
LSE/CRCL,Caracal Energy Inc. Com Shs Npv (di) (CRCL)
LSE/CAR,"CARCLO share price (CAR), Currency GBX"
LSE/CDFF,"CARDIFF PROP. share price (CDFF), Currency GBX"
LSE/CTH,"CARETECH HLDG share price (CTH), Currency GBX"
LSE/CLLN,"CARILLION share price (CLLN), Currency GBX"
LSE/CCL,"CARNIVAL share price (CCL), Currency GBX"
LSE/CPR,"CARPETRIGHT share price (CPR), Currency GBX"
LSE/CPW,Dixons Carphone Plc (CPW)
LSE/CRM,CARRS GROUP share price (CARR) (CRM)
LSE/CDY,Casdon Plc (CDY)
LSE/CGS,"CASTINGS share price (CGS), Currency GBX"
LSE/CTP,"CASTLETON share price (CTP), Currency GBX"
LSE/CMX,"CATALYST MEDIA share price (CMX), Currency GBX"
LSE/CTI,"CATHAY INTL LD share price (CTI), Currency GBX"
LSE/CLTV,"CELLCAST share price (CLTV), Currency GBX"
LSE/CLL,"CELLO GROUP share price (CLL), Currency GBX"
LSE/CCP,"CELTIC share price (CCP), Currency GBX"
LSE/CNKS,"CENKOS SEC share price (CNKS), Currency GBX"
LSE/CAU,"CENTAUR share price (CAU), Currency GBX"
LSE/CAML,"CENTRAL ASIA share price (CAML), Currency GBX"
LSE/CNIC,"CENTRALNIC share price (CNIC), Currency GBX"
LSE/CNA,"CENTRICA share price (CNA), Currency GBX"
LSE/CEPS,"CEPS share price (CEPS), Currency GBX"
LSE/CFU,Ceramic Fuel Cells Limited (CFU)
LSE/CWR,"CERES POWER share price (CWR), Currency GBX"
LSE/CGH,"CHAARAT GOLD share price (CGH), Currency GBX"
LSE/CMH,"CHAMBERLIN share price (CMH), Currency GBX"
LSE/CCT,"CHARACTER GRP. share price (CCT), Currency GBX"
LSE/CCAP,"CHARLEMAGNE share price (CCAP), Currency GBX"
LSE/CAY,"CHARLES STANLEY share price (CAY), Currency GBX"
LSE/CTR,"CHARLES TAYLOR share price (CTR), Currency GBX"
LSE/CHG,"CHEMRING GRP. share price (CHG), Currency GBX"
LSE/CSN,"CHESNARA share price (CSN), Currency GBX"
LSE/CHW,CHIME COMMUNICATIONS PLC (CHW)
LSE/CAF,"PEMBRIDGE RES share price (PERE), Currency GBX"
LSE/CTEK,"CHINA CHAINTEK UNITED CO., LTD. (CTEK)"
LSE/CFC,China Food Company Plc (CFC)
LSE/CNEL,"CHINA NEW share price (CNEL), Currency GBX"
LSE/CNG,"CHINA NONFERR share price (CNG), Currency GBX"
LSE/CPEH,China Private Equity Investment Holdings Limited (CPEH)
LSE/CTG,"CHRISTIE GRP. share price (CTG), Currency GBX"
LSE/CHH,"CHURCHILL CHINA share price (CHH), Currency GBX"
LSE/CHL,"CHURCHILL MIN share price (CHL), Currency GBX"
LSE/CTFA,Cientifica Plc (CTFA)
LSE/CINE,"CINEWORLD share price (CINE), Currency GBX"
LSE/CLIG,"CITY LON INV share price (CLIG), Currency GBX"
LSE/CIN,"CITY LON.GRP share price (CIN), Currency GBX"
LSE/CFHL,CITYFIBRE share price (CITY) (CFHL)
LSE/CTO,"CLARKE T. share price (CTO), Currency GBX"
LSE/CKN,"CLARKSON share price (CKN), Currency GBX"
LSE/CAP,CLEAN AIR POWER LIMITED COM SHS USD0.001 (CAP)
LSE/CLP,"CLEAR LEISURE share price (CLP), Currency GBX"
LSE/CLIN,"CLINIGEN share price (CLIN), Currency GBX"
LSE/CLON,"CLONTARF share price (CLON), Currency GBX"
LSE/CBG,"CLOSE BR.GRP. share price (CBG), Currency GBX"
LSE/CBUY,"CLOUDBUY share price (CBUY), Currency GBX"
LSE/CTAG,"CLOUDTAG share price (CTAG), Currency GBX"
LSE/CLI,"CLS HDGS share price (CLI), Currency GBX"
