BP/HYDRO_CONSUM_GBR,Hydroelectric Consumption - United Kingdom
BP/HYDRO_CONSUM_UZB,Hydroelectric Consumption - Uzbekistan
BP/HYDRO_CONSUM_OEUE,Hydroelectric Consumption - Other Europe & Eurasia
BP/HYDRO_CONSUM_TEUE,Hydroelectric Consumption - Total Europe & Eurasia
BP/HYDRO_CONSUM_IRN,Hydroelectric Consumption - Iran
BP/HYDRO_CONSUM_KWT,Hydroelectric Consumption - Kuwait
BP/HYDRO_CONSUM_ISR,Hydroelectric Consumption - Israel
BP/HYDRO_CONSUM_QAT,Hydroelectric Consumption - Qatar
BP/HYDRO_CONSUM_SAU,Hydroelectric Consumption - Saudi Arabia
BP/HYDRO_CONSUM_ARE,Hydroelectric Consumption - United Arab Emirates
BP/HYDRO_CONSUM_OMDE,Hydroelectric Consumption - Other Middle East
BP/HYDRO_CONSUM_DZA,Hydroelectric Consumption - Algeria
BP/HYDRO_CONSUM_EGY,Hydroelectric Consumption - Egypt
BP/HYDRO_CONSUM_MIDE,Hydroelectric Consumption - Total Middle East
BP/HYDRO_CONSUM_ZAF,Hydroelectric Consumption - South Africa
BP/HYDRO_CONSUM_TAFR,Hydroelectric Consumption - Total Africa
BP/HYDRO_CONSUM_BGD,Hydroelectric Consumption - Bangladesh
BP/HYDRO_CONSUM_OAFR,Hydroelectric Consumption - Other Africa
BP/HYDRO_CONSUM_AUS,Hydroelectric Consumption - Australia
BP/HYDRO_CONSUM_CHN,Hydroelectric Consumption - China
BP/HYDRO_CONSUM_HKG,Hydroelectric Consumption - China Hong Kong SAR
BP/HYDRO_CONSUM_IND,Hydroelectric Consumption - India
BP/HYDRO_CONSUM_JPN,Hydroelectric Consumption - Japan
BP/HYDRO_CONSUM_IDN,Hydroelectric Consumption - Indonesia
BP/HYDRO_CONSUM_NZL,Hydroelectric Consumption - New Zealand
BP/HYDRO_CONSUM_MYS,Hydroelectric Consumption - Malaysia
BP/HYDRO_CONSUM_PAK,Hydroelectric Consumption - Pakistan
BP/HYDRO_CONSUM_PHL,Hydroelectric Consumption - Philippines
BP/HYDRO_CONSUM_KOR,Hydroelectric Consumption - South Korea
BP/HYDRO_CONSUM_SGP,Hydroelectric Consumption - Singapore
BP/HYDRO_CONSUM_TWN,Hydroelectric Consumption - Taiwan
